"Date";"D0";"Value"
"2012-01";"OBB";"2.959"
"2012-01";"MBB";"1.1139"
"2012-01";"FH";"1.7282"
"2012-01";"FI";"1.6046"
"2012-02";"K";"5.0212"
"2012-02";"OBB";"2.9966"
"2012-02";"MBB";"1.0921"
"2012-02";"FH";"1.7286"
"2012-02";"FI";"1.5598"
"2012-03";"K";"5.3094"
"2012-03";"OBB";"2.9981"
"2012-03";"MBB";"1.104"
"2012-03";"FH";"1.6876"
"2012-03";"FI";"1.6182"
"2012-04";"K";"5.0845"
"2012-04";"OBB";"2.9591"
"2012-04";"MBB";"1.1398"
"2012-04";"FH";"1.689"
"2012-04";"FI";"1.5745"
"2012-05";"K";"5.0722"
"2012-05";"OBB";"2.9537"
"2012-05";"MBB";"1.201"
"2012-05";"FH";"1.704"
"2012-05";"FI";"1.6392"
"2012-06";"K";"5.1944"
"2012-06";"OBB";"2.9884"
"2012-06";"MBB";"1.2068"
"2012-06";"FH";"1.6524"
"2012-06";"FI";"1.6135"
"2012-07";"K";"5.0501"
"2012-07";"OBB";"2.986"
"2012-07";"MBB";"1.186"
"2012-07";"FH";"1.6761"
"2012-07";"FI";"1.5591"
"2012-08";"K";"5.185"
"2012-08";"OBB";"2.9577"
"2012-08";"MBB";"1.1533"
"2012-08";"FH";"1.6501"
"2012-08";"FI";"1.6525"
"2012-09";"K";"5.4237"
"2012-09";"OBB";"2.935"
"2012-09";"MBB";"1.1814"
"2012-09";"FH";"1.6458"
"2012-09";"FI";"1.6002"
"2012-10";"K";"4.8153"
"2012-10";"OBB";"2.9619"
"2012-10";"MBB";"1.1357"
"2012-10";"FH";"1.6045"
"2012-10";"FI";"1.612"
"2012-11";"K";"4.9677"
"2012-11";"OBB";"2.9525"
"2012-11";"MBB";"1.1104"
"2012-11";"FH";"1.6535"
"2012-11";"FI";"1.5551"
"2012-12";"K";"4.9995"
"2012-12";"OBB";"2.9412"
"2012-12";"MBB";"1.0756"
"2012-12";"FH";"1.6307"
"2012-12";"FI";"1.6209"
"2013-01";"K";"5.0063"
"2013-01";"OBB";"2.9214"
"2013-01";"MBB";"1.02"
"2013-01";"FH";"1.6436"
"2013-01";"FI";"1.6386"
"2013-02";"K";"5.2377"
"2013-02";"OBB";"2.8901"
"2013-02";"MBB";"1.0456"
"2013-02";"FH";"1.7007"
"2013-02";"FI";"1.6141"
"2013-03";"K";"4.8963"
"2013-03";"OBB";"2.9331"
"2013-03";"MBB";"1.0584"
"2013-03";"FH";"1.7101"
"2013-03";"FI";"1.5835"
"2013-04";"K";"4.9704"
"2013-04";"OBB";"2.8979"
"2013-04";"MBB";"1.0989"
"2013-04";"FH";"1.6761"
"2013-04";"FI";"1.6396"
"2013-05";"K";"5.1363"
"2013-05";"OBB";"2.9285"
"2013-05";"MBB";"1.1284"
"2013-05";"FH";"1.6993"
"2013-05";"FI";"1.6569"
"2013-06";"K";"5.2386"
"2013-06";"OBB";"2.9291"
"2013-06";"MBB";"1.1031"
"2013-06";"FH";"1.741"
"2013-06";"FI";"1.5951"
"2013-07";"K";"5.1567"
"2013-07";"OBB";"2.9452"
"2013-07";"MBB";"1.1473"
"2013-07";"FH";"1.7618"
"2013-07";"FI";"1.6497"
"2013-08";"K";"5.0754"
"2013-08";"OBB";"2.9514"
"2013-08";"MBB";"1.143"
"2013-08";"FH";"1.8267"
"2013-08";"FI";"1.611"
"2013-09";"K";"5.1314"
"2013-09";"OBB";"2.9292"
"2013-09";"MBB";"1.1102"
"2013-09";"FH";"1.8159"
"2013-09";"FI";"1.6008"
"2013-10";"K";"5.0629"
"2013-10";"OBB";"2.9098"
"2013-10";"MBB";"1.1245"
"2013-10";"FH";"1.7742"
"2013-10";"FI";"1.6895"
"2013-11";"K";"4.9345"
"2013-11";"OBB";"2.9559"
"2013-11";"MBB";"1.1375"
"2013-11";"FH";"1.7844"
"2013-11";"FI";"1.6231"
"2013-12";"K";"4.78"
"2013-12";"OBB";"2.8971"
"2013-12";"MBB";"1.0899"
"2013-12";"FH";"1.7243"
"2013-12";"FI";"1.6073"
"2014-01";"K";"4.9483"
"2014-01";"OBB";"2.9245"
"2014-01";"MBB";"1.1382"
"2014-01";"FH";"1.766"
"2014-01";"FI";"1.6956"
"2014-02";"K";"5.0191"
"2014-02";"OBB";"2.8997"
"2014-02";"MBB";"1.0774"
"2014-02";"FH";"1.7383"
"2014-02";"FI";"1.5748"
"2014-03";"K";"4.5992"
"2014-03";"OBB";"2.8585"
"2014-03";"MBB";"1.0784"
"2014-03";"FH";"1.7221"
"2014-03";"FI";"1.5807"
"2014-04";"K";"5.0254"
"2014-04";"OBB";"2.9318"
"2014-04";"MBB";"1.1042"
"2014-04";"FH";"1.6455"
"2014-04";"FI";"1.6709"
"2014-05";"K";"5.4575"
"2014-05";"OBB";"2.8425"
"2014-05";"MBB";"1.1359"
"2014-05";"FH";"1.6527"
"2014-05";"FI";"1.6033"
"2014-06";"K";"5.2443"
"2014-06";"OBB";"2.894"
"2014-06";"MBB";"1.1333"
"2014-06";"FH";"1.6289"
"2014-06";"FI";"1.6494"
"2014-07";"K";"5.0565"
