"Date";"D0";"Value"
"2022-11";"FI";"2.1171"
"2022-12";"K";"4.2602"
"2022-12";"OBB";"2.5356"
"2022-12";"MBB";"1.743"
"2022-12";"FH";"2.0829"
"2022-12";"FI";"2.429"
"2023-01";"K";"4.1805"
"2023-01";"OBB";"2.5808"
"2023-01";"MBB";"1.8765"
"2023-01";"FH";"2.1995"
"2023-01";"FI";"2.4947"
"2023-02";"K";"4.2972"
"2023-02";"OBB";"2.5811"
"2023-02";"MBB";"1.9026"
"2023-02";"FH";"2.3697"
"2023-02";"FI";"2.4797"
"2023-03";"K";"4.3232"
"2023-03";"OBB";"2.6578"
"2023-03";"MBB";"2.1043"
"2023-03";"FH";"2.4515"
"2023-03";"FI";"2.8437"
"2023-04";"K";"4.3509"
"2023-04";"OBB";"2.7209"
"2023-04";"MBB";"2.3765"
"2023-04";"FH";"2.5113"
"2023-04";"FI";"2.8702"
"2023-05";"K";"4.552"
"2023-05";"OBB";"2.7938"
"2023-05";"MBB";"2.3643"
"2023-05";"FH";"2.5961"
"2023-05";"FI";"2.9311"
"2023-06";"K";"4.615"
"2023-06";"OBB";"2.8013"
"2023-06";"MBB";"2.4913"
"2023-06";"FH";"2.5699"
"2023-06";"FI";"3.1789"
"2023-07";"K";"4.5543"
"2023-07";"OBB";"2.8886"
"2023-07";"MBB";"2.6524"
"2023-07";"FH";"2.5872"
"2023-07";"FI";"3.1446"
"2023-08";"K";"4.5455"
"2023-08";"OBB";"2.9499"
"2023-08";"MBB";"2.6368"
"2023-08";"FH";"2.658"
"2023-08";"FI";"3.2015"
"2023-09";"K";"4.5266"
"2023-09";"OBB";"2.9962"
"2023-09";"MBB";"2.6347"
"2023-09";"FH";"2.6248"
"2023-09";"FI";"3.2388"
"2023-10";"K";"4.6061"
"2023-10";"OBB";"3.018"
"2023-10";"MBB";"2.6546"
"2023-10";"FH";"2.5651"
"2023-10";"FI";"3.1742"
"2023-11";"K";"4.618"
"2023-11";"OBB";"3.0228"
"2023-11";"MBB";"2.67"
"2023-11";"FH";"2.3783"
"2023-11";"FI";"3.1801"
"2023-12";"K";"4.5637"
"2023-12";"OBB";"2.9873"
"2023-12";"MBB";"2.6443"
"2023-12";"FH";"2.1845"
"2023-12";"FI";"3.1855"
"2024-01";"K";"4.3242"
"2024-01";"OBB";"3.0639"
"2024-01";"MBB";"2.6488"
"2024-01";"FH";"2.1832"
"2024-01";"FI";"3.1192"
"2024-02";"K";"4.7173"
"2024-02";"OBB";"3.1673"
"2024-02";"MBB";"2.6418"
"2024-02";"FH";"2.1573"
"2024-02";"FI";"3.1889"
"2024-03";"K";"4.4996"
"2024-03";"OBB";"3.1591"
"2024-03";"MBB";"2.5682"
"2024-03";"FH";"2.1484"
"2024-03";"FI";"3.1343"
"2024-04";"K";"4.5525"
"2024-04";"OBB";"3.1773"
"2024-04";"MBB";"2.4602"
"2024-04";"FH";"2.1289"
"2024-04";"FI";"3.0358"
"2024-05";"K";"4.6898"
"2024-05";"OBB";"3.1288"
"2024-05";"MBB";"2.4353"
"2024-05";"FH";"2.2222"
"2024-05";"FI";"3.0392"
"2024-06";"K";"4.6345"
"2024-06";"OBB";"3.1269"
"2024-06";"MBB";"2.2751"
"2024-06";"FH";"2.1858"
"2024-06";"FI";"2.9735"
"2024-07";"K";"4.5911"
"2024-07";"OBB";"3.1172"
"2024-07";"MBB";"2.232"
"2024-07";"FH";"2.0781"
"2024-07";"FI";"2.9135"
"2024-08";"K";"4.5829"
"2024-08";"OBB";"3.1233"
"2024-08";"MBB";"2.2224"
"2024-08";"FH";"1.9076"
"2024-08";"FI";"2.8257"
"2024-09";"K";"4.5681"
"2024-09";"OBB";"3.1011"
"2024-09";"MBB";"2.0631"
"2024-09";"FH";"1.8405"
"2024-09";"FI";"2.6899"
"2024-10";"K";"4.537"
"2024-10";"OBB";"3.1594"
"2024-10";"MBB";"1.9505"
"2024-10";"FH";"1.751"
"2024-10";"FI";"2.5495"
"2024-11";"K";"4.5093"
"2024-11";"OBB";"3.136"
"2024-11";"MBB";"1.9474"
"2024-11";"FH";"1.6587"
"2024-11";"FI";"2.4229"
"2024-12";"K";"4.5525"
"2024-12";"OBB";"3.074"
"2024-12";"MBB";"1.5055"
"2024-12";"FH";"1.5166"
"2024-12";"FI";"2.2255"
"2025-01";"K";"4.26"
"2025-01";"OBB";"2.9746"
"2025-01";"MBB";"1.4415"
"2025-01";"FH";"1.5189"
"2025-01";"FI";"2.1192"
